yf_symbol,trailingPE,priceToBook,returnOnEquity,debtToEquity,coffeeCan,coffeeCanReasons,piotroskiScore,fetched_at
JUBLFOOD.NS,86.04386,14.072363,,2.655,True,"Consistently profitable, compounding business: 25% average return on capital over 4 years, growing revenue 20% a year",7,1788079238
JUBLINGREA.NS,35.195675,3.4549866,,25.328,False,,7,1788079239
JUBLPHARMA.NS,39.86676,1.9710193,,50.943,False,,5,1788079240
JWL.NS,63.333336,3.5406284,,33.365,True,"Consistently profitable, compounding business: 18% average return on capital over 4 years, growing revenue 12% a year",3,1788079241
JYOTICNC.NS,73.66407,11.818616,,42.609,True,"Consistently profitable, compounding business: 16% average return on capital over 4 years, growing revenue 31% a year",5,1788079242
KPRMILL.NS,42.329586,6.7803726,,10.463,False,,7,1788079243
KEI.NS,53.189457,7.989374,,3.796,True,"Consistently profitable, compounding business: 21% average return on capital over 4 years, growing revenue 20% a year",6,1788079244
KPITTECH.NS,27.624662,4.685097,,23.624,True,"Consistently profitable, compounding business: 34% average return on capital over 4 years, growing revenue 24% a year",5,1788079245
KAJARIACER.NS,35.40635,6.3143845,,7.302,False,,8,1788079246
KPIL.NS,20.849752,3.0443044,,45.814,False,,7,1788079247
KALYANKJIL.NS,45.44649,10.068507,,96.966,True,"Consistently profitable, compounding business: 16% average return on capital over 4 years, growing revenue 36% a year",7,1788079248
KARURVYSYA.NS,12.195981,2.3707235,,,False,,4,1788079248
KAYNES.NS,78.1276,5.6871495,,19.168,False,,3,1788079249
KEC.NS,20.247265,1.8401593,,87.306,False,,4,1788079250
KFINTECH.NS,48.541134,9.795723,,3.314,True,"Consistently profitable, compounding business: 29% average return on capital over 4 years, growing revenue 22% a year",6,1788079251
KIRLOSENG.NS,56.18153,8.524213,,154.864,False,,8,1788079252
KOTAKBANK.NS,20.789991,2.3254538,,,False,,5,1788079253
KIMS.NS,151.47348,13.72741,,166.226,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 21% a year",5,1788079254
LTF.NS,25.38772,2.8040967,,393.442,False,,3,1788079255
LTTS.NS,29.326155,5.844167,,8.911,False,,7,1788079256
LGEINDIA.NS,62.947525,14.977022,,5.99,False,,1,1788079257
